     col           wave        flux         sky   synth_sky         snr        flat  trace_upper  trace_lower  trace_mean   trace_fit     fit_res  
  pixels      Angstroms      counts      counts                                            pixel       pixels      pixels      pixels      pixels  
       0   2.046013e+04   1.169e+04   2.418e+01   1.258e-01   2.240e+02   9.634e-01    2.150e+02    1.520e+02   1.835e+02   1.833e+02  -1.965e-01  
       1   2.046042e+04   1.187e+04   2.540e+01   1.258e-01   2.309e+02   9.634e-01    2.144e+02    1.523e+02   1.833e+02   1.833e+02  -6.140e-03  
       2   2.046070e+04   1.240e+04   1.916e+01   1.258e-01   2.273e+02   9.118e-01    2.146e+02    1.521e+02   1.834e+02   1.833e+02  -2.455e-02  
       3   2.046099e+04   1.283e+04   2.016e+01   1.258e-01   2.320e+02   9.132e-01    2.146e+02    1.523e+02   1.834e+02   1.833e+02  -7.233e-02  
       4   2.046128e+04   1.244e+04   2.538e+01   1.258e-01   2.211e+02   9.005e-01    2.145e+02    1.522e+02   1.834e+02   1.834e+02  -1.395e-02  
       5   2.046156e+04   1.230e+04   2.946e+01   1.258e-01   2.263e+02   9.339e-01    2.147e+02    1.522e+02   1.834e+02   1.834e+02  -7.353e-02  
       6   2.046185e+04   1.187e+04   2.506e+01   1.258e-01   2.177e+02   9.183e-01    2.145e+02    1.522e+02   1.833e+02   1.834e+02   5.357e-02  
       7   2.046214e+04   1.089e+04   1.972e+01   1.258e-01   2.174e+02   9.519e-01    2.146e+02    1.523e+02   1.834e+02   1.834e+02  -5.752e-02  
       8   2.046243e+04   1.008e+04   2.246e+01   1.258e-01   1.990e+02   9.152e-01    2.145e+02    1.523e+02   1.834e+02   1.834e+02  -1.717e-02  
       9   2.046271e+04   9.910e+03   2.073e+01   1.258e-01   2.015e+02   9.293e-01    2.146e+02    1.525e+02   1.835e+02   1.834e+02  -1.001e-01  
      10   2.046300e+04   1.098e+04   2.451e+01   1.258e-01   2.081e+02   8.969e-01    2.144e+02    1.520e+02   1.832e+02   1.834e+02   2.057e-01  
      11   2.046329e+04   1.186e+04   1.679e+01   1.258e-01   2.155e+02   8.881e-01    2.146e+02    1.524e+02   1.835e+02   1.834e+02  -5.017e-02  
      12   2.046358e+04   1.203e+04   2.454e+01   1.258e-01   2.203e+02   9.015e-01    2.146e+02    1.522e+02   1.834e+02   1.834e+02   6.621e-02  
      13   2.046386e+04   1.186e+04   2.143e+01   1.258e-01   2.188e+02   9.038e-01    2.149e+02    1.523e+02   1.836e+02   1.835e+02  -1.224e-01  
      14   2.046415e+04   1.201e+04   2.050e+01   1.258e-01   2.187e+02   9.026e-01    2.146e+02    1.522e+02   1.834e+02   1.835e+02   1.077e-01  
      15   2.046444e+04   1.236e+04   2.196e+01   1.258e-01   2.255e+02   9.115e-01    2.148e+02    1.523e+02   1.836e+02   1.835e+02  -7.337e-02  
      16   2.046473e+04   1.274e+04   1.870e+01   1.258e-01   2.298e+02   9.155e-01    2.146e+02    1.522e+02   1.834e+02   1.835e+02   5.437e-02  
      17   2.046501e+04   1.262e+04   1.938e+01   1.258e-01   2.301e+02   9.169e-01    2.148e+02    1.523e+02   1.836e+02   1.835e+02  -6.451e-02  
      18   2.046530e+04   1.252e+04   2.284e+01   1.258e-01   2.254e+02   9.103e-01    2.147e+02    1.522e+02   1.835e+02   1.835e+02   7.105e-02  
      19   2.046559e+04   1.192e+04   2.274e+01   1.258e-01   2.224e+02   9.218e-01    2.146e+02    1.524e+02   1.835e+02   1.835e+02   5.262e-02  
      20   2.046587e+04   1.216e+04   2.033e+01   1.258e-01   2.221e+02   9.108e-01    2.147e+02    1.523e+02   1.835e+02   1.835e+02   2.919e-02  
      21   2.046616e+04   1.215e+04   2.300e+01   1.258e-01   2.246e+02   9.228e-01    2.148e+02    1.524e+02   1.836e+02   1.836e+02   3.436e-03  
      22   2.046645e+04   1.240e+04   1.883e+01   1.258e-01   2.251e+02   9.175e-01    2.148e+02    1.524e+02   1.836e+02   1.836e+02  -2.173e-02  
      23   2.046674e+04   1.151e+04   2.003e+01   1.258e-01   2.194e+02   9.250e-01    2.147e+02    1.523e+02   1.835e+02   1.836e+02   5.237e-02  
      24   2.046702e+04   1.022e+04   1.942e+01   1.258e-01   2.021e+02   9.250e-01    2.147e+02    1.525e+02   1.836e+02   1.836e+02   2.767e-03  
      25   2.046731e+04   8.941e+03   1.610e+01   1.258e-01   1.886e+02   9.334e-01    2.147e+02    1.524e+02   1.836e+02   1.836e+02   3.105e-02  
      26   2.046760e+04   9.369e+03   1.931e+01   1.258e-01   1.923e+02   9.211e-01    2.147e+02    1.524e+02   1.836e+02   1.836e+02   5.340e-02  
      27   2.046789e+04   1.029e+04   1.726e+01   1.258e-01   2.017e+02   9.122e-01    2.148e+02    1.525e+02   1.836e+02   1.836e+02  -4.126e-03  
      28   2.046818e+04   1.181e+04   1.456e+01   1.258e-01   2.187e+02   9.073e-01    2.147e+02    1.524e+02   1.836e+02   1.836e+02   7.225e-02  
      29   2.046846e+04   1.235e+04   1.965e+01   1.258e-01   2.277e+02   9.097e-01    2.148e+02    1.524e+02   1.836e+02   1.837e+02   8.218e-02  
      30   2.046875e+04   1.257e+04   2.301e+01   1.258e-01   2.241e+02   9.079e-01    2.148e+02    1.525e+02   1.836e+02   1.837e+02   2.098e-02  
      31   2.046904e+04   1.237e+04   1.892e+01   1.258e-01   2.266e+02   9.172e-01    2.147e+02    1.525e+02   1.836e+02   1.837e+02   5.896e-02  
      32   2.046933e+04   1.274e+04   1.946e+01   1.258e-01   2.297e+02   9.164e-01    2.148e+02    1.525e+02   1.837e+02   1.837e+02   1.847e-02  
      33   2.046961e+04   1.269e+04   1.608e+01   1.258e-01   2.332e+02   9.218e-01    2.148e+02    1.526e+02   1.837e+02   1.837e+02   7.738e-03  
      34   2.046990e+04   1.279e+04   2.117e+01   1.258e-01   2.306e+02   9.163e-01    2.149e+02    1.527e+02   1.838e+02   1.837e+02  -8.273e-02  
      35   2.047019e+04   1.275e+04   2.711e+01   1.258e-01   2.316e+02   9.244e-01    2.147e+02    1.528e+02   1.838e+02   1.837e+02  -2.494e-02  
      36   2.047048e+04   1.311e+04   1.242e+01   1.258e-01   2.353e+02   9.185e-01    2.148e+02    1.526e+02   1.837e+02   1.837e+02   2.911e-02  
      37   2.047076e+04   1.274e+04   1.600e+01   1.258e-01   2.308e+02   9.221e-01    2.149e+02    1.527e+02   1.838e+02   1.838e+02  -4.293e-02  
      38   2.047105e+04   1.265e+04   2.548e+01   1.258e-01   2.296e+02   9.319e-01    2.148e+02    1.526e+02   1.837e+02   1.838e+02   3.843e-02  
      39   2.047134e+04   1.173e+04   1.678e+01   1.258e-01   2.230e+02   9.394e-01    2.162e+02    1.528e+02   1.845e+02   1.838e+02  -7.438e-01  
      40   2.047163e+04   1.088e+04   2.657e+01   1.258e-01   2.109e+02   9.445e-01    2.148e+02    1.527e+02   1.838e+02   1.838e+02   5.624e-03  
      41   2.047191e+04   9.062e+03   2.021e+01   1.258e-01   1.915e+02   9.491e-01    2.149e+02    1.527e+02   1.838e+02   1.838e+02  -5.757e-03  
      42   2.047220e+04   7.735e+03   9.665e+00   1.258e-01   1.725e+02   9.443e-01    2.150e+02    1.526e+02   1.838e+02   1.838e+02   3.280e-02  
      43   2.047249e+04   7.594e+03   1.030e+01   1.258e-01   1.717e+02   9.388e-01    2.148e+02    1.526e+02   1.837e+02   1.838e+02   1.083e-01  
      44   2.047278e+04   9.347e+03   1.823e+01   1.258e-01   1.934e+02   9.390e-01    2.149e+02    1.526e+02   1.837e+02   1.838e+02   1.268e-01  
      45   2.047307e+04   1.107e+04   1.070e+01   1.258e-01   2.144e+02   9.256e-01    2.149e+02    1.526e+02   1.837e+02   1.839e+02   1.120e-01  
      46   2.047335e+04   1.225e+04   1.808e+01   1.258e-01   2.264e+02   9.317e-01    2.149e+02    1.527e+02   1.838e+02   1.839e+02   4.534e-02  
      47   2.047364e+04   1.240e+04   1.824e+01   1.258e-01   2.313e+02   9.404e-01    2.149e+02    1.528e+02   1.839e+02   1.839e+02   1.956e-02  
      48   2.047393e+04   1.261e+04   1.593e+01   1.258e-01   2.332e+02   9.311e-01    2.150e+02    1.526e+02   1.838e+02   1.839e+02   7.954e-02  
      49   2.047422e+04   1.260e+04   1.498e+01   1.258e-01   2.330e+02   9.338e-01    2.150e+02    1.531e+02   1.841e+02   1.839e+02  -1.562e-01  
      50   2.047451e+04   1.260e+04   1.973e+01   1.258e-01   2.297e+02   9.183e-01    2.149e+02    1.527e+02   1.838e+02   1.839e+02   1.145e-01  
      51   2.047479e+04   1.218e+04   2.315e+01   1.258e-01   2.240e+02   9.236e-01    2.150e+02    1.530e+02   1.840e+02   1.839e+02  -3.513e-02  
