     row  mean_flux  
  pixels     counts  
       0         88  
       1         86  
       2         84  
       3         82  
       4         81  
       5         81  
       6         80  
       7         80  
       8         81  
       9         81  
      10         81  
      11         81  
      12         81  
      13         82  
      14         82  
      15         83  
      16         84  
      17         85  
      18         87  
      19         90  
      20         93  
      21        101  
      22        113  
      23        133  
      24        170  
      25        236  
      26        361  
      27        569  
      28        901  
      29       1223  
      30       1319  
      31       1174  
      32        851  
      33        534  
      34        318  
      35        201  
      36        147  
      37        125  
      38        113  
      39        104  
      40         96  
      41         90  
      42         86  
      43         83  
      44         83  
      45         82  
      46         82  
      47         81  
