   order  source       col       wave_exp       wave_fit        res    peak             disp  
                    pixels      Angstroms      Angstroms  Angstroms  counts  Angstroms/pixel  
      38     sky   280.232   2.000497e+04   2.000370e+04      1.268      98        2.852e-01  
      38     sky   292.535   2.000815e+04   2.000721e+04      0.935     739        2.854e-01  
      38     sky   380.332   2.003316e+04   2.003236e+04      0.799     169        2.873e-01  
      38     sky   510.530   2.006888e+04   2.006995e+04      1.074      81        2.901e-01  
      37     sky   136.165   2.049936e+04   2.049864e+04      0.720     221        2.885e-01  
      37     sky   357.567   2.056295e+04   2.056300e+04      0.051     362        2.930e-01  
      37     sky   360.885   2.056414e+04   2.056398e+04      0.166     434        2.931e-01  
      37     sky   913.149   2.072817e+04   2.072896e+04      0.791     313        3.044e-01  
      37     sky   918.381   2.072986e+04   2.073056e+04      0.698     312        3.045e-01  
      36     sky    30.050   2.103309e+04   2.103299e+04      0.104      63        2.931e-01  
      36     sky   126.453   2.106150e+04   2.106133e+04      0.164      70        2.950e-01  
      36     sky   130.780   2.106269e+04   2.106261e+04      0.080      68        2.951e-01  
      36     sky   149.118   2.106773e+04   2.106802e+04      0.294     101        2.954e-01  
      36     sky   246.197   2.109632e+04   2.109679e+04      0.479      73        2.973e-01  
      36     sky   272.156   2.110428e+04   2.110452e+04      0.243      96        2.978e-01  
      36     sky   281.385   2.110710e+04   2.110727e+04      0.166      86        2.980e-01  
      36     sky   311.229   2.111565e+04   2.111617e+04      0.518     184        2.986e-01  
      36     sky   445.294   2.115593e+04   2.115638e+04      0.451      92        3.012e-01  
      36     sky   513.137   2.117639e+04   2.117686e+04      0.472     275        3.025e-01  
      36     sky   695.521   2.123235e+04   2.123236e+04      0.005     135        3.061e-01  
      36     sky   751.448   2.124948e+04   2.124951e+04      0.030     312        3.072e-01  
      36     sky   844.124   2.127822e+04   2.127806e+04      0.158      45        3.090e-01  
      36     sky   849.064   2.127989e+04   2.127959e+04      0.307      49        3.091e-01  
      36     sky   965.332   2.131618e+04   2.131566e+04      0.522      64        3.114e-01  
      36     sky   976.989   2.131965e+04   2.131929e+04      0.365      59        3.116e-01  
      36     sky   996.631   2.132591e+04   2.132541e+04      0.502     123        3.120e-01  
      35     sky   299.249   2.171093e+04   2.171162e+04      0.689     182        3.053e-01  
      35     sky   592.656   2.180211e+04   2.180198e+04      0.127     538        3.107e-01  
      35     sky   817.348   2.187335e+04   2.187226e+04      1.086     275        3.148e-01  
      34     sky   191.592   2.231180e+04   2.231233e+04      0.527     182        3.107e-01  
      34     sky   197.394   2.231365e+04   2.231413e+04      0.481     192        3.108e-01  
      33     sky    53.212   2.293995e+04   2.294025e+04      0.299      26        3.164e-01  
      33     sky   190.116   2.298353e+04   2.298372e+04      0.182      25        3.186e-01  
      33     sky   201.394   2.298747e+04   2.298731e+04      0.162      35        3.188e-01  
