Files,Temp,Logg,Metal,Alpha
phoenixaces_t2300_g0.00_z-0.00_en0.00_NIRSPEC-O33-RAW.txt,2300,0.0,-0.0,0.0
phoenixaces_t2300_g0.50_z-0.00_en0.00_NIRSPEC-O33-RAW.txt,2300,0.5,-0.0,0.0
phoenixaces_t2300_g1.00_z-0.00_en0.00_NIRSPEC-O33-RAW.txt,2300,1.0,-0.0,0.0
phoenixaces_t2300_g1.50_z-0.00_en0.00_NIRSPEC-O33-RAW.txt,2300,1.5,-0.0,0.0
phoenixaces_t2300_g2.00_z-0.00_en0.00_NIRSPEC-O33-RAW.txt,2300,2.0,-0.0,0.0
phoenixaces_t2300_g2.50_z-0.00_en0.00_NIRSPEC-O33-RAW.txt,2300,2.5,-0.0,0.0
phoenixaces_t2300_g3.00_z-0.00_en0.00_NIRSPEC-O33-RAW.txt,2300,3.0,-0.0,0.0
phoenixaces_t2300_g3.50_z-0.00_en0.00_NIRSPEC-O33-RAW.txt,2300,3.5,-0.0,0.0
phoenixaces_t2300_g4.00_z-0.00_en0.00_NIRSPEC-O33-RAW.txt,2300,4.0,-0.0,0.0
phoenixaces_t2300_g4.50_z-0.00_en0.00_NIRSPEC-O33-RAW.txt,2300,4.5,-0.0,0.0
phoenixaces_t2300_g5.00_z-0.00_en0.00_NIRSPEC-O33-RAW.txt,2300,5.0,-0.0,0.0
phoenixaces_t2300_g5.50_z-0.00_en0.00_NIRSPEC-O33-RAW.txt,2300,5.5,-0.0,0.0
phoenixaces_t2300_g6.00_z-0.00_en0.00_NIRSPEC-O33-RAW.txt,2300,6.0,-0.0,0.0
phoenixaces_t2400_g0.00_z-0.00_en0.00_NIRSPEC-O33-RAW.txt,2400,0.0,-0.0,0.0
phoenixaces_t2400_g0.50_z-0.00_en0.00_NIRSPEC-O33-RAW.txt,2400,0.5,-0.0,0.0
phoenixaces_t2400_g1.00_z-0.00_en0.00_NIRSPEC-O33-RAW.txt,2400,1.0,-0.0,0.0
phoenixaces_t2400_g1.50_z-0.00_en0.00_NIRSPEC-O33-RAW.txt,2400,1.5,-0.0,0.0
phoenixaces_t2400_g2.00_z-0.00_en0.00_NIRSPEC-O33-RAW.txt,2400,2.0,-0.0,0.0
phoenixaces_t2400_g2.50_z-0.00_en0.00_NIRSPEC-O33-RAW.txt,2400,2.5,-0.0,0.0
