File,Temp,Logg,Metal,Alpha
lte012.0-2.5-0.0a+0.0.BT-Settl.spec.7,1200.0,2.5,-0.0,0.0
lte012.0-3.0-0.0a+0.0.BT-Settl.spec.7,1200.0,3.0,-0.0,0.0
lte012.0-3.5-0.0a+0.0.BT-Settl.spec.7,1200.0,3.5,-0.0,0.0
lte012.0-4.0-0.0a+0.0.BT-Settl.spec.7,1200.0,4.0,-0.0,0.0
lte015.5-5.0-0.0a+0.0.BT-Settl.spec.7,1550.0,5.0,-0.0,0.0
lte015.5-5.5-0.0a+0.0.BT-Settl.spec.7,1550.0,5.5,-0.0,0.0
lte016.0-2.5-0.0a+0.0.BT-Settl.spec.7,1600.0,2.5,-0.0,0.0
lte016.0-3.0-0.0a+0.0.BT-Settl.spec.7,1600.0,3.0,-0.0,0.0
lte016.0-3.5-0.0a+0.0.BT-Settl.spec.7,1600.0,3.5,-0.0,0.0
lte016.0-4.0-0.0a+0.0.BT-Settl.spec.7,1600.0,4.0,-0.0,0.0
lte016.0-4.5-0.0a+0.0.BT-Settl.spec.7,1600.0,4.5,-0.0,0.0
lte012.0-4.5-0.0a+0.0.BT-Settl.spec.7,1200.0,4.5,-0.0,0.0
lte012.0-5.0-0.0a+0.0.BT-Settl.spec.7,1200.0,5.0,-0.0,0.0
lte012.0-5.5-0.0a+0.0.BT-Settl.spec.7,1200.0,5.5,-0.0,0.0
lte013.0-2.5-0.0a+0.0.BT-Settl.spec.7,1300.0,2.5,-0.0,0.0
lte013.0-3.0-0.0a+0.0.BT-Settl.spec.7,1300.0,3.0,-0.0,0.0
lte013.0-3.5-0.0a+0.0.BT-Settl.spec.7,1300.0,3.5,-0.0,0.0
lte013.0-4.0-0.0a+0.0.BT-Settl.spec.7,1300.0,4.0,-0.0,0.0
lte013.0-4.5-0.0a+0.0.BT-Settl.spec.7,1300.0,4.5,-0.0,0.0
lte013.0-5.0-0.0a+0.0.BT-Settl.spec.7,1300.0,5.0,-0.0,0.0
lte013.0-5.5-0.0a+0.0.BT-Settl.spec.7,1300.0,5.5,-0.0,0.0
lte014.0-3.0-0.0a+0.0.BT-Settl.spec.7,1400.0,3.0,-0.0,0.0
lte014.0-3.5-0.0a+0.0.BT-Settl.spec.7,1400.0,3.5,-0.0,0.0
